UTC Date / Time;Date / Time;Action;Service;Protocol;Direction;Risk;Policy;Policy Type;Other Policies;Category;In;Out;Src. MAC;Src. Ip;Src. Port;Src. Name;Src. Network;Src. Region;Src. Zone;Dst. Domain;Dst. MAC;Dst. Ip;Dst. Port;Dst. Name;Dst. Network;Dst. Region;Dst. Zone;Signature;Signature ID;Bytes;Bytes Rec.;Bytes Sent;Packets;Packets Rec.;Packets Sent;Session Id;Flow Count
2025-11-18T23:45:29.476Z;Nov 19, 2025 12:45:29.476 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;82.208.114.113;15371;;;RU;External;;;132;null;null;1;null;null;;2
2025-11-18T23:45:54.319Z;Nov 19, 2025 12:45:54.319 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;88.201.229.181;51413;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.319Z;Nov 19, 2025 12:45:54.319 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;81.20.205.228;51434;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.32Z;Nov 19, 2025 12:45:54.320 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;46.175.122.128;1000;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.321Z;Nov 19, 2025 12:45:54.321 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.24.3.205;49286;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.321Z;Nov 19, 2025 12:45:54.321 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;188.128.33.1;57608;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.321Z;Nov 19, 2025 12:45:54.321 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.37.4.105;51413;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:54.384Z;Nov 19, 2025 12:45:54.384 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;58249;UNAS 25:f4;V100;;Internal;;;95.24.3.205;49286;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:45:54.384Z;Nov 19, 2025 12:45:54.384 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;44883;UNAS 25:f4;V100;;Internal;;;88.201.229.181;51413;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:45:54.384Z;Nov 19, 2025 12:45:54.384 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;53307;UNAS 25:f4;V100;;Internal;;;95.37.4.105;51413;;;RU;External;;;60;null;null;1;null;null;;9
